sample_index,adc_raw
0,3
1,0
2,6
3,1
4,0
5,0
6,0
7,0
8,3
9,1
10,0
11,0
12,1
13,1
14,3
15,0
16,1
17,0
18,0
19,0
20,3
21,1
22,0
23,1
24,1
25,0
26,3
27,1
28,0
29,0
30,1
31,0
32,4
33,0
34,0
35,0
36,1
37,2
38,3
39,0
40,0
41,0
42,0
43,1
44,3
45,1
46,0
47,0
48,0
49,2
50,2
51,1
52,0
53,0
54,0
55,0
56,4
57,1
58,0
59,1
60,1
61,1
62,2
63,1
64,0
65,1
66,1
67,0
68,7
69,0
70,1
71,0
72,1
73,0
74,3
75,0
76,0
77,0
78,1
79,0
80,0
81,0
82,0
83,1
84,0
85,0
86,4
87,1
88,0
89,0
90,0
91,2
92,2
93,2
94,1
95,1
96,1
97,4
98,3
99,0
100,0
101,0
102,1
103,0
104,4
105,1
106,0
107,0
108,1
109,3
110,4
111,1
112,0
113,0
114,1
115,0
116,3
117,0
118,0
119,1
120,1
121,0
122,0
123,1
124,0
125,0
126,0
127,0
128,4
129,0
130,0
131,0
132,1
133,0
134,3
135,1
136,0
137,1
138,1
139,5
140,3
141,1
142,0
143,1
144,0
145,1
146,1
147,0
148,4
149,1
150,0
151,0
152,0
153,0
154,3
155,0
156,0
157,0
158,1
159,0
160,3
161,1
162,0
163,0
164,0
165,0
166,2
167,0
168,0
169,0
170,0
171,1
172,3
173,1
174,1
175,0
176,0
177,5
178,3
179,1
180,0
181,1
182,1
183,1
184,3
185,0
186,0
187,1
188,0
189,1
190,2
191,1
192,0
193,0
194,0
195,1
196,3
197,1
198,0
199,0
200,1
201,0
202,3
203,0
204,0
205,1
206,1
207,2
208,3
209,1
210,1
211,5
212,0
213,0
214,2
215,0
216,0
217,1
218,0
219,0
220,3
221,1
222,0
223,1
224,5
225,1
226,0
227,1
228,0
229,0
230,0
231,1
232,4
233,8
234,0
235,0
236,1
237,0
238,3
239,1
240,0
241,0
242,0
243,5
244,4
245,0
246,0
247,1
248,1
249,0
250,3
251,1
252,0
253,0
254,1
255,1
