"FileName","OriginalPath","Length","SHA256","Status","Role"
"r1_bringup.c","C:\Users\CHJ\Downloads\tempa\r1_bringup.c","5702","A9D8E0CFC9B339DC3ADDAFCCD5E67EBBF4D69D8C5B7AC3C58E9321AB752545D1","PRESERVED","DOWNLOAD_OR_TOOL"
"r1_bringup.h","C:\Users\CHJ\Downloads\tempa\r1_bringup.h","1085","38C59EB3802E7385640D29E4B2CA64DDF4BAD23CF9C63F20B2B29432491796A1","PRESERVED","DOWNLOAD_OR_TOOL"
"r1_bringup_integrate.ps1","C:\Users\CHJ\Downloads\tempa\r1_bringup_integrate.ps1","10514","FD705F22476DBA6DC738534194274C733B524A4074DFFC2CF093375B1E660ADE","PRESERVED","DOWNLOAD_OR_TOOL"
"r1_committed_repro_build.ps1","C:\Users\CHJ\Downloads\tempa\r1_committed_repro_build.ps1","9726","2A15B8CAF531646C2818DDD744C00FF7CC674041B8AC137C44C70BCEA990DE86","PRESERVED","DOWNLOAD_OR_TOOL"
"r1_dbm_integrate.ps1","C:\Users\CHJ\Downloads\tempa\r1_dbm_integrate.ps1","9324","DD8EBBAE8CE25D6723167CD403DCE3EFE84B7450D5167E548A613D697EA3A8B6","PRESERVED","DOWNLOAD_OR_TOOL"
"r1_evidence_checkpoint.ps1","C:\Users\CHJ\Downloads\tempa\r1_evidence_checkpoint.ps1","15841","4E7A217D9292CC9868FA5F4E46EB74EA0DE7F0D2CD4D0706C6D10F8FC2BF7396","PRESERVED","DOWNLOAD_OR_TOOL"
"r1_final_focused_regression.ps1","C:\Users\CHJ\Downloads\tempa\r1_final_focused_regression.ps1","28335","EEA5CFAC3E18578D42EAB83CB338EF56D19DD847647EAF03DA86A9E0B5FBEBA1","PRESERVED","DOWNLOAD_OR_TOOL"
"r1_final_focused_regression_v2.ps1","C:\Users\CHJ\Downloads\tempa\r1_final_focused_regression_v2.ps1","28499","96EBE276FE74B9229565587E64256732EF89949B9299ABAEEFDA89D6D9D03E08","PRESERVED","DOWNLOAD_OR_TOOL"
"r1_lifecycle_bringup.c","C:\Users\CHJ\Downloads\tempa\r1_lifecycle_bringup.c","11391","B57F5077B4F50BEECE3D3D75576C82A0EE5EFD7194D33C4328C0A45F4104A5C6","PRESERVED","DOWNLOAD_OR_TOOL"
"r1_lifecycle_bringup.h","C:\Users\CHJ\Downloads\tempa\r1_lifecycle_bringup.h","2101","35E702B055A6948491FEF36D42951784C967A11A008580F698AFD62DFD5021A5","PRESERVED","DOWNLOAD_OR_TOOL"
"r1_lifecycle_build_flash.ps1","C:\Users\CHJ\Downloads\tempa\r1_lifecycle_build_flash.ps1","10379","E713E029D2D2DBE1F43051EADA4F8DD409D5CBD02208391D0685B2E461A1F0D5","PRESERVED","DOWNLOAD_OR_TOOL"
"r1_lifecycle_capture.ps1","C:\Users\CHJ\Downloads\tempa\r1_lifecycle_capture.ps1","15735","ED402FFAA8D2C421024102C26DEF585A656CEF5D58BC2135068B6572AAF85095","PRESERVED","DOWNLOAD_OR_TOOL"
"r1_lifecycle_integrate.ps1","C:\Users\CHJ\Downloads\tempa\r1_lifecycle_integrate.ps1","5405","B35D782295F5B559C407B87FCF4E48FE5415FFB6C1BC0134872FB10556F0D5FE","PRESERVED","DOWNLOAD_OR_TOOL"
"r1_raw_snapshot_capture.ps1","C:\Users\CHJ\Downloads\tempa\r1_raw_snapshot_capture.ps1","15937","2F2B8F64B5BDA0BF4FF8946FC0CF5FE57C728621EC48DDB262FAFEC2733E8149","PRESERVED","DOWNLOAD_OR_TOOL"
"r1_raw_snapshot_recovery.ps1","C:\Users\CHJ\Downloads\tempa\r1_raw_snapshot_recovery.ps1","15027","77C59D025362AEEABBE87721DB440AA5AD7CDAA53E6FA451632FEB207181F4C4","PRESERVED","DOWNLOAD_OR_TOOL"
"r1_soak_bringup.c","C:\Users\CHJ\Downloads\tempa\r1_soak_bringup.c","11536","2BEA18208F75A51E15A187B22C5EC1EB182088651A01BEDC5092CBB9798118FC","PRESERVED","DOWNLOAD_OR_TOOL"
"r1_soak_bringup.h","C:\Users\CHJ\Downloads\tempa\r1_soak_bringup.h","2250","B75A4EC44B54D31E3580A8D7E3EC96B3DA61825CEE8D53317CA455E5B1AD7020","PRESERVED","DOWNLOAD_OR_TOOL"
"r1_soak_build_flash_wait.ps1","C:\Users\CHJ\Downloads\tempa\r1_soak_build_flash_wait.ps1","11549","D12E5D252517472A8B077B3CB7CFA4A7A77753724DC8C5E2967AE70C6D460E49","PRESERVED","DOWNLOAD_OR_TOOL"
"r1_soak_capture.ps1","C:\Users\CHJ\Downloads\tempa\r1_soak_capture.ps1","15620","73A67C30E149274267C055CC77B72A8B7BEF8F74CF9E0D1A00234B3C40D2936B","PRESERVED","DOWNLOAD_OR_TOOL"
"r1_soak_integrate.ps1","C:\Users\CHJ\Downloads\tempa\r1_soak_integrate.ps1","5657","E80DE614BB64DE9F8AC8B3A456364D4A4C140322EFD89CFCA71E72E35EA9C947","PRESERVED","DOWNLOAD_OR_TOOL"
"r2_archive_inventory_v2.ps1","C:\Users\CHJ\Downloads\tempa\r2_archive_inventory_v2.ps1","12577","8013E427304A51441311C864D3F83F71934A193760AAF3C5C99DC622046787E8","FORMAL","ARCHIVE_INVENTORY"
"r2_evidence_consolidate.ps1","C:\Users\CHJ\Downloads\tempa\r2_evidence_consolidate.ps1","37735","510A48BCB01FDF50C6C4F762CDEF8B7B1484DDD0392A049D880504A5C4918D2C","PRESERVED","DOWNLOAD_OR_TOOL"
"r2_w1_buffer_pool.zip","C:\Users\CHJ\Downloads\tempa\r2_w1_buffer_pool.zip","25308","F2199CD829587A81F337E005226CD966B5953D098D63659DF2D464E3D79E26C8","PRESERVED","DOWNLOAD_OR_TOOL"
"r2_w2_dma_slots_v2.zip","C:\Users\CHJ\Downloads\tempa\r2_w2_dma_slots_v2.zip","12675","7F74C7A75CF0D993FD9A71916BD11E5E32B59D14AD22159D36ADD05DEF0B2D26","PRESERVED","DOWNLOAD_OR_TOOL"
"r2_w3_bounded_rebind.zip","C:\Users\CHJ\Downloads\tempa\r2_w3_bounded_rebind.zip","40478","60382A7A42774CEEDBE3E7FCE005335F16B83907421A82091BDB98A03D49B577","PRESERVED","DOWNLOAD_OR_TOOL"
