sequence,ct,completed_slot,completed_id,replacement_id,ndtr_prewrite,free_depth_after_take,ready_depth_after_publish,nominal_to_commit_cycles,nominal_to_irq_exit_cycles,final_window_cycles,mapping_epoch_after,processing_begin_offset_cycles,processing_end_offset_cycles,release_commit_offset_cycles,raw_min,raw_max
1,1,0,0,2,253,3,1,4666,9684,1082,2,242654,256846,258519,0,8
2,0,1,1,3,253,3,1,4640,9636,1081,3,472988,487185,488855,0,10
3,1,0,2,4,253,3,1,4970,9975,1083,4,703736,717925,719596,0,9
4,0,1,3,5,253,3,1,4640,9645,1081,5,933797,947987,949657,0,8
5,1,0,4,0,253,3,1,4658,9662,1084,6,1164225,1178413,1180092,0,8
6,0,1,5,1,253,3,1,4644,9647,1081,7,1395112,1409304,1410978,0,10
7,1,0,0,2,253,3,1,4650,9647,1081,8,1625002,1639195,1640868,0,9
8,0,1,1,3,253,3,1,4640,9645,1081,9,1855397,1869585,1871255,0,7
9,1,0,2,4,253,3,1,4658,9648,1082,10,2085806,2100000,2101670,0,9
10,0,1,3,5,253,3,1,4644,9955,1079,11,2316507,2330704,2332376,0,8
11,1,0,4,0,253,3,1,4646,9641,1081,12,2546598,2560787,2562462,0,9
12,0,1,5,1,253,3,1,4644,9657,1081,13,2777015,2791204,2792877,0,9
13,1,0,0,2,253,3,1,4662,9657,1082,14,3007418,3022136,3023808,0,10
14,0,1,1,3,253,3,1,4640,9636,1081,15,3237788,3251976,3253646,0,7
15,1,0,2,4,253,3,1,4650,9639,1083,16,3468194,3482387,3484057,0,9
16,0,1,3,5,253,3,1,4640,9645,1081,17,3698597,3712787,3714457,0,8
17,1,0,4,0,253,3,1,4662,9657,1082,18,3929020,3943527,3945202,0,9
18,0,1,5,1,253,3,1,4644,9647,1081,19,4159405,4173595,4175270,0,10
19,1,0,0,2,253,3,1,4650,9647,1081,20,4389802,4403995,4405668,0,10
20,0,1,1,3,253,3,1,4640,9645,1081,21,4620197,4634918,4636588,0,10
21,1,0,2,4,253,3,1,4658,9648,1082,22,4850606,4864795,4866466,0,9
22,0,1,3,5,253,3,1,4640,9636,1081,23,5080988,5095176,5096846,0,8
23,1,0,4,0,253,3,1,4646,9641,1081,24,5311398,5325591,5327266,0,8
24,0,1,5,1,253,3,1,4644,9657,1081,25,5542321,5556823,5558497,0,8
25,1,0,0,2,253,3,1,4662,9657,1082,26,5772218,5786407,5788078,0,7
26,0,1,1,3,253,3,1,4640,9636,1081,27,6002588,6016778,6018448,0,9
27,1,0,2,4,253,3,1,4646,9635,1081,28,6232987,6247176,6248846,0,8
28,0,1,3,5,253,3,1,4960,9965,1080,29,6463718,6477909,6479580,0,9
29,1,0,4,0,253,3,1,4658,9654,1084,30,6693819,6708010,6709689,0,9
30,0,1,5,1,253,3,1,4644,9647,1081,31,6924205,6938401,6940074,0,7
31,1,0,0,2,253,3,1,4654,9650,1083,32,7155347,7169541,7171214,0,9
32,0,1,1,3,253,3,1,4640,9645,1081,33,7384997,7399191,7400862,0,9
33,1,0,2,4,253,3,1,4658,9648,1082,34,7615406,7629598,7631268,0,8
34,0,1,3,5,253,3,1,4640,9636,1081,35,7845788,7859978,7861648,0,9
35,1,0,4,0,253,3,1,4654,9967,1083,36,8076525,8090717,8092392,0,8
36,0,1,5,1,253,3,1,4644,9657,1081,37,8306615,8320807,8322480,0,9
37,1,0,0,2,253,3,1,4662,9657,1084,38,8537018,8551208,8552879,0,6
38,0,1,1,3,253,3,1,4640,9636,1081,39,8767388,8782097,8783767,0,6
39,1,0,2,4,253,3,1,4646,9635,1081,40,8997787,9011975,9013645,0,8
40,0,1,3,5,253,3,1,4640,9645,1081,41,9228197,9242386,9244057,0,6
41,1,0,4,0,253,3,1,4658,9654,1084,42,9458619,9472812,9474491,0,10
42,0,1,5,1,253,3,1,4648,9651,1081,43,9689007,9703521,9705196,0,8
43,1,0,0,2,253,3,1,4654,9650,1083,44,9919405,9933594,9935267,0,10
44,0,1,1,3,253,3,1,4640,9645,1081,45,10149797,10163984,10165654,0,9
45,1,0,2,4,253,3,1,4658,9648,1082,46,10380206,10394917,10396587,0,8
46,0,1,3,5,253,3,1,4640,9636,1081,47,10610588,10624777,10626447,0,9
47,1,0,4,0,253,3,1,4650,9645,1083,48,10841001,10855186,10856862,0,6
48,0,1,5,1,253,3,1,4644,9657,1081,49,11071415,11085601,11087274,0,8
49,1,0,0,2,253,3,1,4662,9657,1082,50,11302325,11316833,11318504,0,8
50,0,1,1,3,253,3,1,4640,9636,1081,51,11532188,11546380,11548051,0,7
