sequence,decision,ct,completed_slot,completed_id,replacement_id,ndtr_guard,nominal_to_decision_cycles,nominal_to_irq_exit_cycles,final_window_cycles,mapping_epoch_after,free_depth_after_take,ready_depth_after_publish,processed_ok
1,1,1,0,0,2,251,6484,11535,1086,2,0,1,1
2,2,0,1,1,255,253,4536,7070,528,2,0,0,0
3,2,1,0,2,255,253,4547,7078,529,2,0,0,0
4,2,0,1,1,255,253,4532,7066,528,2,0,0,0
5,2,1,0,2,255,253,4547,7078,529,2,0,0,0
6,2,0,1,1,255,253,4532,7066,528,2,0,0,0
7,2,1,0,2,255,253,4547,7395,529,2,0,0,0
8,1,0,1,1,0,251,6470,11507,1085,3,0,1,1
9,2,1,0,2,255,253,4547,7068,530,3,0,0,0
10,2,0,1,0,255,253,4528,7052,529,3,0,0,0
11,2,1,0,2,255,253,4543,7064,530,3,0,0,0
12,2,0,1,0,255,253,4528,7052,529,3,0,0,0
13,2,1,0,2,255,253,4543,7064,530,3,0,0,0
14,2,0,1,0,255,253,4528,7052,529,3,0,0,0
15,1,1,0,2,1,251,6476,11518,1088,4,0,1,1
16,2,0,1,0,255,253,4532,7057,528,4,0,0,0
17,2,1,0,1,255,253,4543,7065,529,4,0,0,0
18,2,0,1,0,255,253,4528,7053,528,4,0,0,0
19,2,1,0,1,255,253,4543,7065,529,4,0,0,0
20,2,0,1,0,255,253,4528,7053,528,4,0,0,0
21,2,1,0,1,255,253,4543,7065,529,4,0,0,0
22,1,0,1,0,2,251,6462,11500,1087,5,0,1,1
23,2,1,0,1,255,253,4551,7077,529,5,0,0,0
24,2,0,1,2,255,253,4532,7061,528,5,0,0,0
25,2,1,0,1,255,253,4547,7073,529,5,0,0,0
26,2,0,1,2,255,253,4532,7061,528,5,0,0,0
27,2,1,0,1,255,253,4547,7073,529,5,0,0,0
28,2,0,1,2,255,253,4532,7061,528,5,0,0,0
29,1,1,0,1,0,251,6484,11522,1086,6,0,1,1
30,2,0,1,2,255,253,4532,7056,529,6,0,0,0
31,2,1,0,0,255,253,4543,7064,530,6,0,0,0
32,2,0,1,2,255,253,4528,7369,529,6,0,0,0
33,2,1,0,0,255,253,4543,7064,530,6,0,0,0
34,2,0,1,2,255,253,4528,7052,529,6,0,0,0
35,2,1,0,0,255,253,4543,7064,530,6,0,0,0
36,1,0,1,2,1,251,6462,11495,1087,7,0,1,1
37,2,1,0,0,255,253,4547,7069,529,7,0,0,0
38,2,0,1,1,255,253,4528,7053,528,7,0,0,0
39,2,1,0,0,255,253,4543,7065,529,7,0,0,0
40,2,0,1,1,255,253,4528,7053,528,7,0,0,0
41,2,1,0,0,255,253,4543,7065,529,7,0,0,0
42,2,0,1,1,255,253,4528,7053,528,7,0,0,0
43,1,1,0,0,2,251,6476,11515,1088,8,0,1,1
44,2,0,1,1,255,253,4536,7065,528,8,0,0,0
45,2,1,0,2,255,253,4547,7073,529,8,0,0,0
46,2,0,1,1,255,253,4532,7061,528,8,0,0,0
47,2,1,0,2,255,253,4547,7073,529,8,0,0,0
48,2,0,1,1,255,253,4532,7061,528,8,0,0,0
49,2,1,0,2,255,253,4547,7073,529,8,0,0,0
50,1,0,1,1,0,251,6470,11507,1087,9,0,1,1
51,2,1,0,2,255,253,4547,7068,530,9,0,0,0
52,2,0,1,0,255,253,4528,7052,529,9,0,0,0
53,2,1,0,2,255,253,4543,7064,530,9,0,0,0
54,2,0,1,0,255,253,4528,7052,529,9,0,0,0
55,2,1,0,2,255,253,4543,7064,530,9,0,0,0
56,2,0,1,0,255,253,4528,7052,529,9,0,0,0
57,1,1,0,2,1,251,6796,11850,1089,10,0,1,1
58,2,0,1,0,255,253,4532,7057,528,10,0,0,0
59,2,1,0,1,255,253,4543,7065,529,10,0,0,0
60,2,0,1,0,255,253,4528,7053,528,10,0,0,0
61,2,1,0,1,255,253,4543,7065,529,10,0,0,0
62,2,0,1,0,255,253,4528,7053,528,10,0,0,0
63,2,1,0,1,255,253,4543,7065,529,10,0,0,0
64,1,0,1,0,2,251,6466,11519,1085,11,0,1,1
