sequence,decision,ct_entry,completed_slot,completed_id,replacement_id,ndtr_guard,free_depth_after_take,ready_depth_after_publish,nominal_to_decision_cycles,nominal_to_irq_exit_cycles,final_window_cycles,mapping_epoch_after,m0_before,m1_before,m0_after,m1_after,processing_begin_offset_cycles,processing_end_offset_cycles,release_commit_offset_cycles,raw_min,raw_max,processed_ok
1,1,1,0,0,2,251,3,1,6588,11692,1097,2,536874568,536875088,536875608,536875088,244694,2332516,2334181,0,10,1
2,1,0,1,1,3,251,2,1,6577,11424,1095,3,536875608,536875088,536875608,536876128,2336557,4424370,4426036,0,6,1
3,1,1,0,2,4,251,1,2,6880,11737,1099,4,536875608,536876128,536876648,536876128,4428409,6516222,6517883,0,6,1
4,1,0,1,3,5,251,0,3,6565,11420,1094,5,536876648,536876128,536876648,536877168,6520258,8608078,8609739,0,3,1
5,2,1,0,4,255,252,0,3,4561,7152,510,5,536876648,536877168,536876648,536877168,0,0,0,0,0,0
6,2,0,1,5,255,252,0,3,4554,7144,506,5,536876648,536877168,536876648,536877168,0,0,0,0,0,0
7,2,1,0,4,255,252,0,3,4561,7152,510,5,536876648,536877168,536876648,536877168,0,0,0,0,0,0
8,2,0,1,5,255,252,0,3,4554,7144,506,5,536876648,536877168,536876648,536877168,0,0,0,0,0,0
9,2,1,0,4,255,252,0,3,4561,7152,510,5,536876648,536877168,536876648,536877168,0,0,0,0,0,0
10,2,0,1,5,255,252,0,3,4554,7144,506,5,536876648,536877168,536876648,536877168,0,0,0,0,0,0
11,1,1,0,4,0,251,0,3,6576,11423,1096,6,536876648,536877168,536874568,536877168,8612447,10700275,10701939,0,4,1
12,2,0,1,5,255,252,0,3,4554,7137,508,6,536874568,536877168,536874568,536877168,0,0,0,0,0,0
13,2,1,0,0,255,252,0,3,4561,7145,510,6,536874568,536877168,536874568,536877168,0,0,0,0,0,0
14,2,0,1,5,255,252,0,3,4554,7137,508,6,536874568,536877168,536874568,536877168,0,0,0,0,0,0
15,2,1,0,0,255,252,0,3,4557,7141,508,6,536874568,536877168,536874568,536877168,0,0,0,0,0,0
16,2,0,1,5,255,252,0,3,4554,7137,508,6,536874568,536877168,536874568,536877168,0,0,0,0,0,0
