sequence,decision,ct_entry,completed_slot,completed_id,replacement_id,ndtr_guard,free_depth_after_take,ready_depth_after_publish,nominal_to_decision_cycles,nominal_to_irq_exit_cycles,final_window_cycles,mapping_epoch_after,m0_before,m1_before,m0_after,m1_after,processing_begin_offset_cycles,processing_end_offset_cycles,release_commit_offset_cycles,raw_min,raw_max,processed_ok
1,1,1,0,0,2,251,3,1,6540,11646,1075,2,536874568,536875088,536875608,536875088,244636,259074,260714,0,9,1
2,1,0,1,1,3,251,3,1,6518,11601,1073,3,536875608,536875088,536875608,536876128,474977,489418,491062,0,8,1
3,1,1,0,2,4,251,3,1,6848,11939,1075,4,536875608,536876128,536876648,536876128,705727,720175,721818,0,10,1
4,1,0,1,3,5,251,3,1,6518,11609,1073,5,536876648,536876128,536876648,536877168,935782,950232,951875,0,9,1
5,1,1,0,4,0,251,3,1,6536,11617,1075,6,536876648,536877168,536874568,536877168,1166194,1180639,1182280,0,9,1
6,1,0,1,5,1,251,3,1,6510,11586,1073,7,536874568,536877168,536874568,536875088,1397066,1411512,1413474,0,8,1
7,1,1,0,0,2,251,3,1,6516,11599,1072,8,536874568,536875088,536875608,536875088,1626971,1641418,1643058,0,9,1
8,1,0,1,1,3,251,3,1,6518,11609,1073,9,536875608,536875088,536875608,536876128,1857382,1871820,1873465,0,9,1
9,1,1,0,2,4,251,3,1,6536,11619,1073,10,536875608,536876128,536876648,536876128,2087799,2102236,2103880,0,7,1
10,1,0,1,3,5,251,3,1,6522,11938,1071,11,536876648,536876128,536876648,536877168,2318514,2332954,2334592,0,9,1
11,1,1,0,4,0,251,3,1,6524,11606,1072,12,536876648,536877168,536874568,536877168,2548576,2563018,2564660,0,9,1
12,1,0,1,5,1,251,3,1,6510,11596,1073,13,536874568,536877168,536874568,536875088,2778967,2793412,2795052,0,8,1
13,1,1,0,0,2,251,3,1,6528,11611,1073,14,536874568,536875088,536875608,536875088,3009388,3024354,3026024,0,9,1
14,1,0,1,1,3,251,3,1,6518,11601,1073,15,536875608,536875088,536875608,536876128,3239777,3254224,3255869,0,9,1
15,1,1,0,2,4,251,3,1,6524,11608,1072,16,536875608,536876128,536876648,536876128,3470181,3484630,3486273,0,9,1
16,1,0,1,3,5,251,3,1,6518,11609,1073,17,536876648,536876128,536876648,536877168,3700582,3715025,3716669,0,9,1
17,1,1,0,4,0,251,3,1,6540,11621,1073,18,536876648,536877168,536874568,536877168,3930997,3945754,3947424,0,9,1
18,1,0,1,5,1,251,3,1,6510,11586,1073,19,536874568,536877168,536874568,536875088,4161359,4175806,4177446,0,9,1
19,1,1,0,0,2,251,3,1,6516,11599,1072,20,536874568,536875088,536875608,536875088,4391771,4406212,4407852,0,9,1
20,1,0,1,1,3,251,3,1,6518,11609,1073,21,536875608,536875088,536875608,536876128,4622182,4637034,4638707,0,9,1
21,1,1,0,2,4,251,3,1,6536,11619,1075,22,536875608,536876128,536876648,536876128,4852599,4867042,4868685,0,8,1
22,1,0,1,3,5,251,3,1,6518,11601,1073,23,536876648,536876128,536876648,536877168,5082977,5097424,5099068,0,7,1
23,1,1,0,4,0,251,3,1,6524,11606,1072,24,536876648,536877168,536874568,536877168,5313376,5327818,5329460,0,10,1
24,1,0,1,5,1,251,3,1,6510,11596,1073,25,536874568,536877168,536874568,536875088,5544277,5559040,5560711,0,8,1
25,1,1,0,0,2,251,3,1,6528,11611,1073,26,536874568,536875088,536875608,536875088,5774188,5788632,5790271,0,9,1
26,1,0,1,1,3,251,3,1,6518,11601,1073,27,536875608,536875088,536875608,536876128,6004577,6019020,6020665,0,7,1
27,1,1,0,2,4,251,3,1,6528,11611,1074,28,536875608,536876128,536876648,536876128,6234984,6249425,6251069,0,9,1
28,1,0,1,3,5,251,3,1,6838,11930,1072,29,536876648,536876128,536876648,536877168,6465705,6480142,6481784,0,8,1
29,1,1,0,4,0,251,3,1,6536,11617,1073,30,536876648,536877168,536874568,536877168,6695794,6710233,6711872,0,9,1
30,1,0,1,5,1,251,3,1,6510,11586,1073,31,536874568,536877168,536874568,536875088,6926159,6940602,6942241,0,7,1
31,1,1,0,0,2,251,3,1,6520,11603,1074,32,536874568,536875088,536875608,536875088,7157317,7171759,7173732,0,7,1
32,1,0,1,1,3,251,3,1,6518,11609,1073,33,536875608,536875088,536875608,536876128,7386982,7401431,7403074,0,9,1
33,1,1,0,2,4,251,3,1,6536,11619,1075,34,536875608,536876128,536876648,536876128,7617399,7631846,7633490,0,9,1
34,1,0,1,3,5,251,3,1,6518,11601,1073,35,536876648,536876128,536876648,536877168,7847777,7862225,7863869,0,9,1
35,1,1,0,4,0,251,3,1,6532,11945,1074,36,536876648,536877168,536874568,536877168,8078527,8092979,8094617,0,10,1
36,1,0,1,5,1,251,3,1,6510,11596,1073,37,536874568,536877168,536874568,536875088,8308567,8323012,8324652,0,7,1
37,1,1,0,0,2,251,3,1,6528,11611,1073,38,536874568,536875088,536875608,536875088,8538988,8553431,8555071,0,7,1
38,1,0,1,1,3,251,3,1,6518,11601,1073,39,536875608,536875088,536875608,536876128,8769377,8784346,8786021,0,7,1
39,1,1,0,2,4,251,3,1,6524,11608,1072,40,536875608,536876128,536876648,536876128,8999781,9014220,9015865,0,9,1
40,1,0,1,3,5,251,3,1,6518,11609,1073,41,536876648,536876128,536876648,536877168,9230182,9244624,9246268,0,9,1
41,1,1,0,4,0,251,3,1,6536,11617,1073,42,536876648,536877168,536874568,536877168,9460594,9475036,9476675,0,8,1
42,1,0,1,5,1,251,3,1,6514,11592,1071,43,536874568,536877168,536874568,536875088,9690965,9705489,9707160,0,8,1
43,1,1,0,0,2,251,3,1,6520,11603,1074,44,536874568,536875088,536875608,536875088,9921375,9935820,9937461,0,9,1
44,1,0,1,1,3,251,3,1,6518,11609,1073,45,536875608,536875088,536875608,536876128,10151782,10166230,10167873,0,9,1
45,1,1,0,2,4,251,3,1,6536,11619,1073,46,536875608,536876128,536876648,536876128,10382199,10397162,10398837,0,9,1
46,1,0,1,3,5,251,3,1,6518,11601,1073,47,536876648,536876128,536876648,536877168,10612577,10627018,10628662,0,7,1
47,1,1,0,4,0,251,3,1,6524,11606,1072,48,536876648,536877168,536874568,536877168,10842976,10857418,10859060,0,6,1
48,1,0,1,5,1,251,3,1,6510,11596,1073,49,536874568,536877168,536874568,536875088,11073367,11087812,11089452,0,7,1
49,1,1,0,0,2,251,3,1,6528,11611,1073,50,536874568,536875088,536875608,536875088,11304297,11318944,11320614,0,7,1
50,1,0,1,1,3,251,3,1,6518,11601,1073,51,536875608,536875088,536875608,536876128,11534177,11548618,11550262,0,8,1
51,1,1,0,2,4,251,3,1,6524,11608,1072,52,536875608,536876128,536876648,536876128,11764581,11779030,11780673,0,8,1
52,1,0,1,3,5,251,3,1,6518,11609,1073,53,536876648,536876128,536876648,536877168,11994982,12009425,12011069,0,10,1
53,1,1,0,4,0,251,3,1,6856,11945,1074,54,536876648,536877168,536874568,536877168,12225723,12240168,12241808,0,8,1
54,1,0,1,5,1,251,3,1,6510,11586,1073,55,536874568,536877168,536874568,536875088,12455759,12470201,12471840,0,7,1
55,1,1,0,0,2,251,3,1,6520,11603,1074,56,536874568,536875088,536875608,536875088,12686175,12700618,12702258,0,9,1
56,1,0,1,1,3,251,3,1,6518,11609,1073,57,536875608,536875088,536875608,536876128,12917093,12931534,12933492,0,10,1
57,1,1,0,2,4,251,3,1,6536,11619,1073,58,536875608,536876128,536876648,536876128,13146999,13161440,13163083,0,10,1
58,1,0,1,3,5,251,3,1,6518,11601,1073,59,536876648,536876128,536876648,536877168,13377377,13391820,13393465,0,9,1
59,1,1,0,4,0,251,3,1,6528,11609,1074,60,536876648,536877168,536874568,536877168,13607778,13622224,13623865,0,9,1
60,1,0,1,5,1,251,3,1,6514,11933,1073,61,536874568,536877168,536874568,536875088,13838505,13852948,13854582,0,10,1
61,1,1,0,0,2,251,3,1,6528,11611,1075,62,536874568,536875088,536875608,536875088,14068588,14083032,14084671,0,9,1
62,1,0,1,1,3,251,3,1,6518,11601,1073,63,536875608,536875088,536875608,536876128,14298977,14313424,14315069,0,10,1
63,1,1,0,2,4,251,3,1,6528,11611,1074,64,536875608,536876128,536876648,536876128,14529384,14544348,14546022,0,10,1
64,1,0,1,3,5,251,3,1,6518,11609,1073,65,536876648,536876128,536876648,536877168,14759782,14774225,14775869,0,9,1
65,1,1,0,4,0,251,3,1,6536,11617,1073,66,536876648,536877168,536874568,536877168,14990194,15004638,15006277,0,8,1
66,1,0,1,5,1,251,3,1,6510,11586,1073,67,536874568,536877168,536874568,536875088,15220559,15235002,15236641,0,7,1
67,1,1,0,0,2,251,3,1,6524,11607,1074,68,536874568,536875088,536875608,536875088,15450978,15465510,15467180,0,9,1
